Title,"HE qualifications obtained by subject area, sex, level of qualification, mode of study and country of HE provider",,,,,
(1) Medicine & dentistry,All,Part-time,All,Female,2014/15,2200
(1) Medicine & dentistry,All,Part-time,All,Male,2014/15,1745
(1) Medicine & dentistry,All,Part-time,All,Other,2014/15,0
(1) Medicine & dentistry,All,Part-time,All,Total,2014/15,3945
(1) Medicine & dentistry,All,Part-time,All,Female,2015/16,2040
(1) Medicine & dentistry,All,Part-time,All,Male,2015/16,1710
(1) Medicine & dentistry,All,Part-time,All,Other,2015/16,0
(1) Medicine & dentistry,All,Part-time,All,Total,2015/16,3750
(1) Medicine & dentistry,All,Part-time,All,Female,2016/17,2035
(1) Medicine & dentistry,All,Part-time,All,Male,2016/17,1575
(1) Medicine & dentistry,All,Part-time,All,Other,2016/17,0
(1) Medicine & dentistry,All,Part-time,All,Total,2016/17,3610
(1) Medicine & dentistry,All,Part-time,All,Female,2017/18,2005
(1) Medicine & dentistry,All,Part-time,All,Male,2017/18,1495
(1) Medicine & dentistry,All,Part-time,All,Other,2017/18,5
(1) Medicine & dentistry,All,Part-time,All,Total,2017/18,3510
(1) Medicine & dentistry,All,Part-time,All,Female,2018/19,2095
(1) Medicine & dentistry,All,Part-time,All,Male,2018/19,1590
(1) Medicine & dentistry,All,Part-time,All,Other,2018/19,5
(1) Medicine & dentistry,All,Part-time,All,Total,2018/19,3690
(1) Medicine & dentistry,All,Full-time,England,Female,2014/15,7015
(1) Medicine & dentistry,All,Full-time,England,Male,2014/15,5005
(1) Medicine & dentistry,All,Full-time,England,Other,2014/15,0
(1) Medicine & dentistry,All,Full-time,England,Total,2014/15,12020
(1) Medicine & dentistry,All,Full-time,England,Female,2015/16,7015
(1) Medicine & dentistry,All,Full-time,England,Male,2015/16,4875
(1) Medicine & dentistry,All,Full-time,England,Other,2015/16,0
(1) Medicine & dentistry,All,Full-time,England,Total,2015/16,11895
(1) Medicine & dentistry,All,Full-time,England,Female,2016/17,6715
(1) Medicine & dentistry,All,Full-time,England,Male,2016/17,5045
(1) Medicine & dentistry,All,Full-time,England,Other,2016/17,0
(1) Medicine & dentistry,All,Full-time,England,Total,2016/17,11765
(1) Medicine & dentistry,All,Full-time,England,Female,2017/18,7070
(1) Medicine & dentistry,All,Full-time,England,Male,2017/18,5175
(1) Medicine & dentistry,All,Full-time,England,Other,2017/18,10
(1) Medicine & dentistry,All,Full-time,England,Total,2017/18,12255
(1) Medicine & dentistry,All,Full-time,England,Female,2018/19,7385
(1) Medicine & dentistry,All,Full-time,England,Male,2018/19,5165
(1) Medicine & dentistry,All,Full-time,England,Other,2018/19,15
(1) Medicine & dentistry,All,Full-time,England,Total,2018/19,12565
(1) Medicine & dentistry,All,Part-time,England,Female,2014/15,1635
(1) Medicine & dentistry,All,Part-time,England,Male,2014/15,1280
(1) Medicine & dentistry,All,Part-time,England,Other,2014/15,0
(1) Medicine & dentistry,All,Part-time,England,Total,2014/15,2915
(1) Medicine & dentistry,All,Part-time,England,Female,2015/16,1570
(1) Medicine & dentistry,All,Part-time,England,Male,2015/16,1290
(1) Medicine & dentistry,All,Part-time,England,Other,2015/16,0
(1) Medicine & dentistry,All,Part-time,England,Total,2015/16,2860
(1) Medicine & dentistry,All,Part-time,England,Female,2016/17,1535
(1) Medicine & dentistry,All,Part-time,England,Male,2016/17,1170
(1) Medicine & dentistry,All,Part-time,England,Other,2016/17,0
(1) Medicine & dentistry,All,Part-time,England,Total,2016/17,2710
(1) Medicine & dentistry,All,Part-time,England,Female,2017/18,1555
(1) Medicine & dentistry,All,Part-time,England,Male,2017/18,1200
(1) Medicine & dentistry,All,Part-time,England,Other,2017/18,5
(1) Medicine & dentistry,All,Part-time,England,Total,2017/18,2760
(1) Medicine & dentistry,All,Part-time,England,Female,2018/19,1635
(1) Medicine & dentistry,All,Part-time,England,Male,2018/19,1280
(1) Medicine & dentistry,All,Part-time,England,Other,2018/19,5
(1) Medicine & dentistry,All,Part-time,England,Total,2018/19,2920
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Female,2014/15,205
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Male,2014/15,145
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Other,2014/15,0
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Total,2014/15,350
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Female,2015/16,220
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Male,2015/16,145
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Other,2015/16,0
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Total,2015/16,360
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Female,2016/17,220
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Male,2016/17,145
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Other,2016/17,0
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Total,2016/17,365
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Female,2017/18,240
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Male,2017/18,155
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Other,2017/18,0
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Total,2017/18,395
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Female,2018/19,280
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Male,2018/19,145
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Other,2018/19,0
(1) Medicine & dentistry,All,Full-time,Northern Ireland,Total,2018/19,420
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Female,2014/15,95
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Male,2014/15,65
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Other,2014/15,0
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Total,2014/15,160
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Female,2015/16,85
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Male,2015/16,55
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Other,2015/16,0
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Total,2015/16,135
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Female,2016/17,90
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Male,2016/17,80
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Other,2016/17,0
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Total,2016/17,170
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Female,2017/18,65
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Male,2017/18,45
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Other,2017/18,0
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Total,2017/18,110
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Female,2018/19,105
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Male,2018/19,55
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Other,2018/19,0
(1) Medicine & dentistry,All,Part-time,Northern Ireland,Total,2018/19,160
(1) Medicine & dentistry,All,Full-time,Scotland,Female,2014/15,1060
(1) Medicine & dentistry,All,Full-time,Scotland,Male,2014/15,705
(1) Medicine & dentistry,All,Full-time,Scotland,Other,2014/15,0
(1) Medicine & dentistry,All,Full-time,Scotland,Total,2014/15,1765
(1) Medicine & dentistry,All,Full-time,Scotland,Female,2015/16,1105
(1) Medicine & dentistry,All,Full-time,Scotland,Male,2015/16,760
(1) Medicine & dentistry,All,Full-time,Scotland,Other,2015/16,0
(1) Medicine & dentistry,All,Full-time,Scotland,Total,2015/16,1865
(1) Medicine & dentistry,All,Full-time,Scotland,Female,2016/17,1105
(1) Medicine & dentistry,All,Full-time,Scotland,Male,2016/17,725
(1) Medicine & dentistry,All,Full-time,Scotland,Other,2016/17,0
(1) Medicine & dentistry,All,Full-time,Scotland,Total,2016/17,1830
(1) Medicine & dentistry,All,Full-time,Scotland,Female,2017/18,1115
(1) Medicine & dentistry,All,Full-time,Scotland,Male,2017/18,695
(1) Medicine & dentistry,All,Full-time,Scotland,Other,2017/18,0
(1) Medicine & dentistry,All,Full-time,Scotland,Total,2017/18,1810
(1) Medicine & dentistry,All,Full-time,Scotland,Female,2018/19,1080
(1) Medicine & dentistry,All,Full-time,Scotland,Male,2018/19,695
(1) Medicine & dentistry,All,Full-time,Scotland,Other,2018/19,0
(1) Medicine & dentistry,All,Full-time,Scotland,Total,2018/19,1775
(1) Medicine & dentistry,All,Part-time,Scotland,Female,2014/15,170
(1) Medicine & dentistry,All,Part-time,Scotland,Male,2014/15,165
(1) Medicine & dentistry,All,Part-time,Scotland,Other,2014/15,0
(1) Medicine & dentistry,All,Part-time,Scotland,Total,2014/15,335
(1) Medicine & dentistry,All,Part-time,Scotland,Female,2015/16,150
(1) Medicine & dentistry,All,Part-time,Scotland,Male,2015/16,165
(1) Medicine & dentistry,All,Part-time,Scotland,Other,2015/16,0
(1) Medicine & dentistry,All,Part-time,Scotland,Total,2015/16,320
(1) Medicine & dentistry,All,Part-time,Scotland,Female,2016/17,195
(1) Medicine & dentistry,All,Part-time,Scotland,Male,2016/17,170
(1) Medicine & dentistry,All,Part-time,Scotland,Other,2016/17,0
(1) Medicine & dentistry,All,Part-time,Scotland,Total,2016/17,365
(1) Medicine & dentistry,All,Part-time,Scotland,Female,2017/18,210
(1) Medicine & dentistry,All,Part-time,Scotland,Male,2017/18,140
(1) Medicine & dentistry,All,Part-time,Scotland,Other,2017/18,0
(1) Medicine & dentistry,All,Part-time,Scotland,Total,2017/18,350
(1) Medicine & dentistry,All,Part-time,Scotland,Female,2018/19,195
(1) Medicine & dentistry,All,Part-time,Scotland,Male,2018/19,165
(1) Medicine & dentistry,All,Part-time,Scotland,Other,2018/19,0
(1) Medicine & dentistry,All,Part-time,Scotland,Total,2018/19,360
(1) Medicine & dentistry,All,Full-time,Wales,Female,2014/15,410
(1) Medicine & dentistry,All,Full-time,Wales,Male,2014/15,245
(1) Medicine & dentistry,All,Full-time,Wales,Other,2014/15,0
(1) Medicine & dentistry,All,Full-time,Wales,Total,2014/15,655
(1) Medicine & dentistry,All,Full-time,Wales,Female,2015/16,350
(1) Medicine & dentistry,All,Full-time,Wales,Male,2015/16,280
(1) Medicine & dentistry,All,Full-time,Wales,Other,2015/16,0
(1) Medicine & dentistry,All,Full-time,Wales,Total,2015/16,630
(1) Medicine & dentistry,All,Full-time,Wales,Female,2016/17,410
(1) Medicine & dentistry,All,Full-time,Wales,Male,2016/17,245
(1) Medicine & dentistry,All,Full-time,Wales,Other,2016/17,0
(1) Medicine & dentistry,All,Full-time,Wales,Total,2016/17,660
(1) Medicine & dentistry,All,Full-time,Wales,Female,2017/18,395
(1) Medicine & dentistry,All,Full-time,Wales,Male,2017/18,225
(1) Medicine & dentistry,All,Full-time,Wales,Other,2017/18,0
(1) Medicine & dentistry,All,Full-time,Wales,Total,2017/18,620
(1) Medicine & dentistry,All,Full-time,Wales,Female,2018/19,385
(1) Medicine & dentistry,All,Full-time,Wales,Male,2018/19,205
(1) Medicine & dentistry,All,Full-time,Wales,Other,2018/19,0
(1) Medicine & dentistry,All,Full-time,Wales,Total,2018/19,595
(1) Medicine & dentistry,All,Part-time,Wales,Female,2014/15,300
(1) Medicine & dentistry,All,Part-time,Wales,Male,2014/15,235
(1) Medicine & dentistry,All,Part-time,Wales,Other,2014/15,0
(1) Medicine & dentistry,All,Part-time,Wales,Total,2014/15,535
(1) Medicine & dentistry,All,Part-time,Wales,Female,2015/16,235
(1) Medicine & dentistry,All,Part-time,Wales,Male,2015/16,200
(1) Medicine & dentistry,All,Part-time,Wales,Other,2015/16,0
(1) Medicine & dentistry,All,Part-time,Wales,Total,2015/16,440
(1) Medicine & dentistry,All,Part-time,Wales,Female,2016/17,210
(1) Medicine & dentistry,All,Part-time,Wales,Male,2016/17,155
(1) Medicine & dentistry,All,Part-time,Wales,Other,2016/17,0
(1) Medicine & dentistry,All,Part-time,Wales,Total,2016/17,365
(1) Medicine & dentistry,All,Part-time,Wales,Female,2017/18,180
(1) Medicine & dentistry,All,Part-time,Wales,Male,2017/18,110
(1) Medicine & dentistry,All,Part-time,Wales,Other,2017/18,0
(1) Medicine & dentistry,All,Part-time,Wales,Total,2017/18,290
(1) Medicine & dentistry,All,Part-time,Wales,Female,2018/19,155
(1) Medicine & dentistry,All,Part-time,Wales,Male,2018/19,95
(1) Medicine & dentistry,All,Part-time,Wales,Other,2018/19,0
(1) Medicine & dentistry,All,Part-time,Wales,Total,2018/19,255
(1) Medicine & dentistry,All,All,All,Female,2014/15,10885
(1) Medicine & dentistry,All,All,All,Male,2014/15,7845
(1) Medicine & dentistry,All,All,All,Other,2014/15,0
(1) Medicine & dentistry,All,All,All,Total,2014/15,18730
(1) Medicine & dentistry,All,All,All,Female,2015/16,10730
(1) Medicine & dentistry,All,All,All,Male,2015/16,7770
(1) Medicine & dentistry,All,All,All,Other,2015/16,0
(1) Medicine & dentistry,All,All,All,Total,2015/16,18500
(1) Medicine & dentistry,All,All,All,Female,2016/17,10490
(1) Medicine & dentistry,All,All,All,Male,2016/17,7735
(1) Medicine & dentistry,All,All,All,Other,2016/17,5
(1) Medicine & dentistry,All,All,All,Total,2016/17,18230
(1) Medicine & dentistry,All,All,All,Female,2017/18,10825
(1) Medicine & dentistry,All,All,All,Male,2017/18,7750
(1) Medicine & dentistry,All,All,All,Other,2017/18,15
(1) Medicine & dentistry,All,All,All,Total,2017/18,18590
(1) Medicine & dentistry,All,All,All,Female,2018/19,11225
(1) Medicine & dentistry,All,All,All,Male,2018/19,7800
(1) Medicine & dentistry,All,All,All,Other,2018/19,25
(1) Medicine & dentistry,All,All,All,Total,2018/19,19050
(1) Medicine & dentistry,All,All,England,Female,2014/15,8650
(1) Medicine & dentistry,All,All,England,Male,2014/15,6285
(1) Medicine & dentistry,All,All,England,Other,2014/15,0
(1) Medicine & dentistry,All,All,England,Total,2014/15,14935
(1) Medicine & dentistry,All,All,England,Female,2015/16,8590
(1) Medicine & dentistry,All,All,England,Male,2015/16,6165
(1) Medicine & dentistry,All,All,England,Other,2015/16,0
(1) Medicine & dentistry,All,All,England,Total,2015/16,14755
(1) Medicine & dentistry,All,All,England,Female,2016/17,8255
(1) Medicine & dentistry,All,All,England,Male,2016/17,6220
(1) Medicine & dentistry,All,All,England,Other,2016/17,0
(1) Medicine & dentistry,All,All,England,Total,2016/17,14470
(1) Medicine & dentistry,All,All,England,Female,2017/18,8625
(1) Medicine & dentistry,All,All,England,Male,2017/18,6375
(1) Medicine & dentistry,All,All,England,Other,2017/18,15
(1) Medicine & dentistry,All,All,England,Total,2017/18,15015
(1) Medicine & dentistry,All,All,England,Female,2018/19,9025
(1) Medicine & dentistry,All,All,England,Male,2018/19,6445
(1) Medicine & dentistry,All,All,England,Other,2018/19,20
(1) Medicine & dentistry,All,All,England,Total,2018/19,15485
(1) Medicine & dentistry,All,All,Northern Ireland,Female,2014/15,300
(1) Medicine & dentistry,All,All,Northern Ireland,Male,2014/15,210
(1) Medicine & dentistry,All,All,Northern Ireland,Other,2014/15,0
(1) Medicine & dentistry,All,All,Northern Ireland,Total,2014/15,505
(1) Medicine & dentistry,All,All,Northern Ireland,Female,2015/16,300
(1) Medicine & dentistry,All,All,Northern Ireland,Male,2015/16,195
(1) Medicine & dentistry,All,All,Northern Ireland,Other,2015/16,0
(1) Medicine & dentistry,All,All,Northern Ireland,Total,2015/16,500
(1) Medicine & dentistry,All,All,Northern Ireland,Female,2016/17,315
(1) Medicine & dentistry,All,All,Northern Ireland,Male,2016/17,225
(1) Medicine & dentistry,All,All,Northern Ireland,Other,2016/17,0
(1) Medicine & dentistry,All,All,Northern Ireland,Total,2016/17,540
(1) Medicine & dentistry,All,All,Northern Ireland,Female,2017/18,305
(1) Medicine & dentistry,All,All,Northern Ireland,Male,2017/18,200
(1) Medicine & dentistry,All,All,Northern Ireland,Other,2017/18,0
(1) Medicine & dentistry,All,All,Northern Ireland,Total,2017/18,505
(1) Medicine & dentistry,All,All,Northern Ireland,Female,2018/19,385
(1) Medicine & dentistry,All,All,Northern Ireland,Male,2018/19,195
(1) Medicine & dentistry,All,All,Northern Ireland,Other,2018/19,0
(1) Medicine & dentistry,All,All,Northern Ireland,Total,2018/19,580
(1) Medicine & dentistry,All,All,Scotland,Female,2014/15,1225
(1) Medicine & dentistry,All,All,Scotland,Male,2014/15,870
(1) Medicine & dentistry,All,All,Scotland,Other,2014/15,0
(1) Medicine & dentistry,All,All,Scotland,Total,2014/15,2100
(1) Medicine & dentistry,All,All,Scotland,Female,2015/16,1255
(1) Medicine & dentistry,All,All,Scotland,Male,2015/16,925
(1) Medicine & dentistry,All,All,Scotland,Other,2015/16,0
(1) Medicine & dentistry,All,All,Scotland,Total,2015/16,2180
(1) Medicine & dentistry,All,All,Scotland,Female,2016/17,1300
(1) Medicine & dentistry,All,All,Scotland,Male,2016/17,890
(1) Medicine & dentistry,All,All,Scotland,Other,2016/17,0
(1) Medicine & dentistry,All,All,Scotland,Total,2016/17,2195
(1) Medicine & dentistry,All,All,Scotland,Female,2017/18,1325
(1) Medicine & dentistry,All,All,Scotland,Male,2017/18,835
(1) Medicine & dentistry,All,All,Scotland,Other,2017/18,0
(1) Medicine & dentistry,All,All,Scotland,Total,2017/18,2160
(1) Medicine & dentistry,All,All,Scotland,Female,2018/19,1275
(1) Medicine & dentistry,All,All,Scotland,Male,2018/19,855
(1) Medicine & dentistry,All,All,Scotland,Other,2018/19,5
(1) Medicine & dentistry,All,All,Scotland,Total,2018/19,2140
(1) Medicine & dentistry,All,All,Wales,Female,2014/15,710
(1) Medicine & dentistry,All,All,Wales,Male,2014/15,480
(1) Medicine & dentistry,All,All,Wales,Other,2014/15,0
(1) Medicine & dentistry,All,All,Wales,Total,2014/15,1190
(1) Medicine & dentistry,All,All,Wales,Female,2015/16,585
(1) Medicine & dentistry,All,All,Wales,Male,2015/16,480
(1) Medicine & dentistry,All,All,Wales,Other,2015/16,0
(1) Medicine & dentistry,All,All,Wales,Total,2015/16,1070
(1) Medicine & dentistry,All,All,Wales,Female,2016/17,625
(1) Medicine & dentistry,All,All,Wales,Male,2016/17,400
(1) Medicine & dentistry,All,All,Wales,Other,2016/17,0
(1) Medicine & dentistry,All,All,Wales,Total,2016/17,1025
(1) Medicine & dentistry,All,All,Wales,Female,2017/18,575
(1) Medicine & dentistry,All,All,Wales,Male,2017/18,335
(1) Medicine & dentistry,All,All,Wales,Other,2017/18,0
(1) Medicine & dentistry,All,All,Wales,Total,2017/18,910
(1) Medicine & dentistry,All,All,Wales,Female,2018/19,540
(1) Medicine & dentistry,All,All,Wales,Male,2018/19,305
(1) Medicine & dentistry,All,All,Wales,Other,2018/19,0
(1) Medicine & dentistry,All,All,Wales,Total,2018/19,845
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Female,2014/15,920
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Male,2014/15,650
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Other,2014/15,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Total,2014/15,1570
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Female,2015/16,975
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Male,2015/16,690
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Other,2015/16,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Total,2015/16,1665
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Female,2016/17,905
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Male,2016/17,685
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Other,2016/17,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Total,2016/17,1590
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Female,2017/18,930
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Male,2017/18,715
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Other,2017/18,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Total,2017/18,1645
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Female,2018/19,1000
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Male,2018/19,735
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Other,2018/19,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,England,Total,2018/19,1740
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Female,2014/15,270
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Male,2014/15,295
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Other,2014/15,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Total,2014/15,565
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Female,2015/16,265
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Male,2015/16,270
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Other,2015/16,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Total,2015/16,535
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Female,2016/17,235
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Male,2016/17,250
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Other,2016/17,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Total,2016/17,485
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Female,2017/18,260
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Male,2017/18,240
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Other,2017/18,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Total,2017/18,500
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Female,2018/19,245
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Male,2018/19,225
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Other,2018/19,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,England,Total,2018/19,470
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2014/15,20
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2014/15,10
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2014/15,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2014/15,30
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2015/16,25
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2015/16,10
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2015/16,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2015/16,35
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2016/17,25
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2016/17,15
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2016/17,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2016/17,40
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2017/18,35
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2017/18,10
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2017/18,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2017/18,45
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2018/19,25
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2018/19,15
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2018/19,0
(1) Medicine & dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2018/19,40
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2014/15,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2014/15,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2014/15,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2014/15,10
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2015/16,10
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2015/16,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2015/16,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2015/16,15
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2016/17,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2016/17,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2016/17,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2016/17,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2017/18,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2017/18,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2017/18,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2017/18,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2018/19,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2018/19,5
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2018/19,0
(1) Medicine & dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2018/19,15
(1) Medicine & dentistry,Postgraduate (research),Full-time,Scotland,Female,2014/15,145
(1) Medicine & dentistry,Postgraduate (research),Full-time,Scotland,Male,2014/15,65
